group,name,degree
highly-connected plant,Ardisia crenate,28
plant,Badula insularis,0
plant,Badula platiphylla,2
highly-connected plant,Bertiera zaluzania,5
highly-connected plant,Calophyllum eputamen var eputamen,12
highly-connected plant,Casearia coriacea,4
highly-connected plant,Chassalia coriacea var coriacea,4
highly-connected plant,Claoxylon linostachys ssp brachyphyllum,7
highly-connected plant,Clidemia hirta,4
plant,Coffea macrocarpa,0
highly-connected plant,Coffea mauritiana,4
plant,Cordemoya integrifolia,1
plant,Croton fothergillifolius,3
highly-connected plant,Croton grangeroides,28
highly-connected plant,Diospyros revaughanii,12
plant,Dodonaea viscosa ,3
highly-connected plant,Doratoxylon apetalum var diphyllum,19
plant,Dracaena reflexa var angustifolia,2
highly-connected plant,Embelia angustifolia,13
highly-connected plant,Erythrospermum monticolum var monticolum,6
plant,Erythroxylum macrocarpum,0
highly-connected plant,Eugenia orbiculata,29
plant,Euodia chapelieri var chapelieri,1
plant,Euodia obtusifolia ssp gigas var gigas,1
plant,Faujasiopsis flexuosa ssp erecta,1
highly-connected plant,Flagellaria indica,9
plant,Gaertnera psychotrioides/edentata,2
highly-connected plant,Gaertnera rotundifolia,16
plant,Grangeria borbonica,1
highly-connected plant,Harungana madagascariensis,14
plant,Helichrysum proteoides,3
highly-connected plant,Homalanthus populifolius,14
highly-connected plant,Labourdonnaisia callophylloides,18
highly-connected plant,Molinaea alternifolia,5
highly-connected plant,Molinaea macrantha,19
plant,Myonima violacea var ovata,3
highly-connected plant,Ochna mauritiana,13
highly-connected plant,Olea lancea,16
highly-connected plant,Ossaea marginata,5
plant,Phyllanthus phillyreifolius var telfairianus,0
highly-connected plant,Pittosporum senacia,10
plant,Psathura terniflora,0
plant,Psiadia terebinthina,2
highly-connected plant,Psidium cattleianum,38
highly-connected plant,Rubus alcefolius,11
highly-connected plant,Sideroxylon cinereum,4
highly-connected plant,Sideroxylon puberulum,30
highly-connected plant,Smilax anceps,13
plant,Stillingia lineata ssp lineata,1
highly-connected plant,Syzygium commersonii,33
plant,Syzygium coriaceum,2
highly-connected plant,Syzygium glomeratum,10
plant,Syzygium petrinese,2
highly-connected plant,Tabernaemontana persicarifolia,8
plant,Toddalia asiatica,3
highly-connected plant,Tristhema mauritiana,15
plant,Trochetia blackburniana,2
plant,Turraea rigida,2
plant,Warneckea trinervis,1
plant,Wikstroemia indica,2
plant,Xylopia lamarckii ,1
