genus,name,degree,group,greedy_priority,regret_priority,pagerank_priority
Syritta,S rectus,1,pollinator,low priority,low priority,low priority
Temnostoma,T alternans,1,pollinator,low priority,low priority,low priority
Temnostoma,T balyras,1,pollinator,low priority,low priority,low priority
Temnostoma,T barberi,1,pollinator,low priority,low priority,low priority
Thamnotettix,T confinis,1,pollinator,low priority,low priority,low priority
Trachysida,T aspera,1,pollinator,low priority,low priority,low priority
Tropidia,T quadrata,2,pollinator,low priority,low priority,low priority
Tychius,T stephensi,1,pollinator,low priority,low priority,low priority
Vespula,V arenaria,1,pollinator,low priority,low priority,low priority
Xylota,X bigelowi,1,pollinator,low priority,low priority,low priority
Xylota,X hinei,2,pollinator,low priority,low priority,low priority
Xylota,X sp.,1,pollinator,low priority,low priority,low priority
Zeraea,Z americana,2,pollinator,low priority,low priority,low priority
Aralia,A nudicaulis,17,highly-connected plant,high priority,high priority,medium priority
Chimaphila,C umbellata,3,plant,high priority,high priority,medium priority
Clintonia,C borealis,15,highly-connected plant,medium priority,medium priority,medium priority
Cornus,C canadensis,65,highly-connected plant,high priority,high priority,medium priority
Cypripedium,C acaule,2,plant,high priority,medium priority,medium priority
Linnaea,L borealis,21,highly-connected plant,high priority,medium priority,medium priority
Maianthemum,M canadense,26,highly-connected plant,high priority,high priority,high priority
Medeola,M virginiana,1,plant,high priority,medium priority,medium priority
Oxalis,O montana,6,highly-connected plant,high priority,high priority,high priority
Pyrola,P secunda,4,highly-connected plant,high priority,medium priority,medium priority
Trientalis,T borealis,3,plant,high priority,medium priority,medium priority
Trillium,T undulatum,4,highly-connected plant,high priority,medium priority,medium priority
